open,high,low,close,barSize,date
123.3975,123.4075,123.3725,123.3775,MIN_15,2015-06-16 10:15:00
123.3775,123.39,123.3675,123.3725,MIN_15,2015-06-16 10:30:00
123.3725,123.4,123.3675,123.3875,MIN_15,2015-06-16 10:45:00
123.3875,123.41,123.3625,123.3675,MIN_15,2015-06-16 11:00:00
123.3675,123.3825,123.3425,123.3625,MIN_15,2015-06-16 11:15:00
123.3625,123.3675,123.34,123.3575,MIN_15,2015-06-16 11:30:00
123.3575,123.375,123.3575,123.365,MIN_15,2015-06-16 11:45:00
123.365,123.3875,123.36,123.3725,MIN_15,2015-06-16 12:00:00
123.3725,123.3975,123.37,123.3875,MIN_15,2015-06-16 12:15:00
123.3875,123.3925,123.38,123.3875,MIN_15,2015-06-16 12:30:00
123.3875,123.3975,123.3775,123.385,MIN_15,2015-06-16 12:45:00
123.385,123.4075,123.38,123.38,MIN_15,2015-06-16 13:00:00
123.38,123.3875,123.3625,123.365,MIN_15,2015-06-16 13:15:00
123.365,123.38,123.3525,123.355,MIN_15,2015-06-16 13:30:00
123.355,123.3725,123.35,123.36,MIN_15,2015-06-16 13:45:00
123.3725,123.3925,123.36,123.3825,MIN_15,2015-06-16 14:15:00
123.3825,123.405,123.3725,123.39,MIN_15,2015-06-16 14:30:00
123.39,123.41,123.3725,123.38,MIN_15,2015-06-16 14:45:00
123.38,123.42,123.3625,123.395,MIN_15,2015-06-16 15:00:00
123.395,123.41,123.3775,123.395,MIN_15,2015-06-16 15:15:00
123.395,123.395,123.375,123.3825,MIN_15,2015-06-16 15:30:00
123.3825,123.395,123.38,123.385,MIN_15,2015-06-16 15:45:00
123.385,123.405,123.3775,123.39,MIN_15,2015-06-16 16:00:00
123.39,123.4425,123.3875,123.42,MIN_15,2015-06-16 16:15:00
123.42,123.45,123.405,123.4425,MIN_15,2015-06-16 16:30:00
123.4425,123.46,123.425,123.4575,MIN_15,2015-06-16 16:45:00
123.4575,123.465,123.4225,123.4375,MIN_15,2015-06-16 17:00:00
123.4375,123.4475,123.415,123.4275,MIN_15,2015-06-16 17:15:00
123.4275,123.45,123.4175,123.4225,MIN_15,2015-06-16 17:30:00
123.4225,123.4525,123.4175,123.4275,MIN_15,2015-06-16 17:45:00
123.4275,123.4275,123.37,123.4125,MIN_15,2015-06-16 18:00:00
123.4125,123.4175,123.385,123.4125,MIN_15,2015-06-16 18:15:00
123.4125,123.4375,123.4075,123.4225,MIN_15,2015-06-16 18:30:00
123.4225,123.435,123.3675,123.3725,MIN_15,2015-06-16 18:45:00
123.3725,123.405,123.3625,123.3925,MIN_15,2015-06-16 19:00:00
123.3925,123.4175,123.3875,123.4075,MIN_15,2015-06-16 19:15:00
123.4075,123.4175,123.3925,123.4075,MIN_15,2015-06-16 19:30:00
123.4075,123.4575,123.3975,123.4375,MIN_15,2015-06-16 19:45:00
123.4375,123.4775,123.4225,123.4475,MIN_15,2015-06-16 20:00:00
123.4475,123.4525,123.415,123.4225,MIN_15,2015-06-16 20:15:00
123.4225,123.4475,123.42,123.44,MIN_15,2015-06-16 20:30:00
123.44,123.4525,123.43,123.4475,MIN_15,2015-06-16 20:45:00
123.4475,123.4575,123.4225,123.4375,MIN_15,2015-06-16 21:00:00
123.4375,123.465,123.4325,123.4575,MIN_15,2015-06-16 21:15:00
123.4575,123.4775,123.4475,123.4575,MIN_15,2015-06-16 21:30:00
123.4575,123.4775,123.4525,123.4775,MIN_15,2015-06-16 21:45:00
123.4775,123.565,123.4725,123.5475,MIN_15,2015-06-16 22:00:00
123.5475,123.5925,123.5375,123.5575,MIN_15,2015-06-16 22:15:00
123.5575,123.5725,123.5425,123.5475,MIN_15,2015-06-16 22:30:00
123.5475,123.5525,123.5275,123.5425,MIN_15,2015-06-16 22:45:00
123.5425,123.5575,123.5225,123.54,MIN_15,2015-06-16 23:00:00
123.54,123.6075,123.5325,123.605,MIN_15,2015-06-16 23:15:00
123.605,123.6075,123.5775,123.5875,MIN_15,2015-06-16 23:30:00
123.5875,123.6075,123.545,123.5525,MIN_15,2015-06-16 23:45:00
123.5525,123.5525,123.5025,123.5525,MIN_15,2015-06-17 00:00:00
123.5525,123.6775,123.54,123.6725,MIN_15,2015-06-17 00:15:00
123.6725,123.7125,123.6575,123.6725,MIN_15,2015-06-17 00:30:00
123.6725,123.6875,123.6175,123.655,MIN_15,2015-06-17 00:45:00
123.655,123.6975,123.63,123.67,MIN_15,2015-06-17 01:00:00
123.67,123.73,123.6625,123.7275,MIN_15,2015-06-17 01:15:00
